0.00 0.00

0.71 0.73

0.00 0.00

0.00 0.00

0.73 0.73

0.00 0.00

0.00 0.00

0.00 0.00

   ma    mb  gmab
    0   230   230
    1   202   202
    2   907   907
    3   553   553
    4   187   187
    5   308   308
    6    68    68
    7   467   467
    8   983   983
    9   217   217
   10    45    45
   11   364   364
   12   418   418
   13   511   511
   14   852   852
   15   552   552
   16  1062  1062
   17   399   399
   18   630   630
   19   119   119
   20   111   111
   21   903   903
   22   886   886
   23   482   482
   24    37    37
   25   739   739
   26  1046  1046
   27   160   160
   28   657   657
   29   823   823
   30   314   314
   31   234   921
   32   459   459
   33    98    98
   34   388   388
   35  1050  1050
   36  1050   565
   37    47    47
   38   368   368
   39   377   377
   40   666   666
   41   232   232
   42   879   879
   43  1114  1114
   44   295   295
   45   457   457
   46   697   697
   47   934   934
   48   563   563
   49   499   499
   50   805   805
   51    51    51
   52   968   968
   53   557   557
   54   447   447
   55   693   693
   56   607   607
   57   878   878
   58   517   517
   59   238   238
   60   130   130
   61  1059  1059
   62   750   974
   63   470   670
   64    21   213
   65   734   734
   66   750   750
   67   899   899
   68   617   617
   69   706   706
   70   489   489
   71   349   349
   72   321   321
   73   108   108
   74   107   107
   75   173   173
   76   562   562
   77   760   760
   78    28    28
   79   579   579
   80   411   411
   81   338   338
   82   926   926
   83   302   302
   84   106   106
   85    18    18
   86   906   906
   87   919   919
   88   283   283
   89  1069  1069
   90   811   861
   91  1084  1084
   92   844   809
   93   877   877
   94   880   880
   95    39    39
   96  1004  1004
   97   804   804
   98   205   205
   99   804   461
  100   594   594
  101   972   972
  102   528   528
  103   128   128
  104   188   188
  105   822   822
  106   510   510
  107  1081  1081
  108   298   298
  109  1007  1007
  110   736   736
  111   523   523
  112   122   122
  113    31    31
  114   206   206
  115   731   731
  116  1041  1041
  117  1077  1077
  118   681   681
  119   753   753
  120   298   406
  121   622   154
  122   591   591
  123   392   392
  124   586   586
  125   223   223
  126   259   259
  127   673   673
  128   426   426
  129   628   628
  130   830   830
  131   133   133
  132   476   476
  133     9     9
  134   976   976
  135  1060  1060
  136   261   261
  137   494   494
  138   462   462
  139   870   870
  140   938   938
  141   800   800
  142   980   980
  143   910   910
  144   820   820
  145   254   254
  146   395   395
  147    10    10
  148   381   381
  149   794   794
  150   931   931
  151   863   863
  152   460   460
  153   836   836
  154   574   574
  155   744   744
  156   495   495
  157   121   121
  158   996   996
  159  1037  1037
  160   446   446
  161   193   193
  162  1015   587
  163  1047  1047
  164  1086  1086
  165   514   514
  166   195   195
  167   222   222
  168   904   904
  169  1020  1020
  170  1038  1017
  171  1085  1085
  172  1038   250
  173   513   513
  174  1038  1038
  175   475   475
  176   445   445
  177   672   672
  178   189   189
  179  1038  1053
  180   277   277
  181   328   328
  182   807   807
  183   175   175
  184   783   783
  185   334   334
  186   204   204
  187   593   593
  188   708   708
  189  1013  1013
  190   865   865
  191   832   832
  192   994   994
  193   162   162
  194   180   180
  195  1125  1125
  196    60    60
  197    58    58
  198   366   366
  199   506   506
  200   923   923
  201   789   789
  202   604   604
  203   871   871
  204   263   263
  205   479   479
  206   144   144
  207   884   884
  208   712   712
  209   330   330
  210   741   741
  211   813   813
  212   999   999
  213   937   937
  214   840   840
  215   120   120
  216    80    80
  217   272   272
  218   396   396
  219   621   621
  220    96    96
  221   950   950
  222   811   811
  223   569   569
  224   821   776
  225   372   372
  226   535   535
  227   306   306
  228   668   668
  229   669   669
  230   456   456
  231   784   784
  232   819   819
  233   158   158
  234  1014  1014
  235   341   341
  236   882   882
  237   573   573
  238    32    32
  239   624   624
  240   806   806
